created_at,anotador_id,idx,respuesta,comentario_prem,comentario_hyp,region,palabras_marcadas
2026-05-23 21:22:11.518637+00,anotador_156,5,5,,,buenos_aires_amba,[]
2026-05-23 21:32:40.072022+00,anotador_263,300,3,El uno lleva mayúscula,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,309,4,,,buenos_aires_interior,"[{""pos"":2,""source"":""prem"",""palabra"":""usualmente""}]"
2026-05-23 21:32:40.072022+00,anotador_263,369,4,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,377,4,,,buenos_aires_interior,"[{""pos"":3,""source"":""prem"",""palabra"":""naturaleza?""}]"
2026-05-23 21:32:40.072022+00,anotador_263,381,5,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,402,5,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,409,4,,,buenos_aires_interior,"[{""pos"":7,""source"":""prem"",""palabra"":""ellos""}]"
2026-05-23 21:32:40.072022+00,anotador_263,410,4,,,buenos_aires_interior,"[{""pos"":3,""source"":""hyp"",""palabra"":""ellos""},{""pos"":7,""source"":""prem"",""palabra"":""ellos""}]"
2026-05-23 21:32:40.072022+00,anotador_263,520,5,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,554,5,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,590,5,,,buenos_aires_interior,[]
2026-05-23 21:32:40.072022+00,anotador_263,601,4,,,buenos_aires_interior,"[{""pos"":6,""source"":""hyp"",""palabra"":""mismo""}]"
2026-05-23 22:14:12.409557+00,anotador_261,225,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_261,232,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,418,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,482,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_261,256,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_261,68,2,,,buenos_aires_amba,"[{""pos"":1,""source"":""prem"",""palabra"":""rasgaba""},{""pos"":6,""source"":""prem"",""palabra"":""colocaba""},{""pos"":22,""source"":""prem"",""palabra"":""removía""}]"
2026-05-23 22:14:12.409557+00,anotador_261,88,3,,,buenos_aires_amba,"[{""pos"":15,""source"":""prem"",""palabra"":""extranjero.""},{""pos"":12,""source"":""prem"",""palabra"":""desplegamos""}]"
2026-05-23 22:14:12.409557+00,anotador_156,97,2,lugar,,buenos_aires_amba,"[{""pos"":21,""source"":""prem"",""palabra"":""sitio""}]"
